source,run,config_id,data,feature_set,seed,split_seed,split_strategy,train_max_samples,n_train_full,n_train_used,n_val,n_test,epochs,name,hidden_dims,batch_size,lr,dropout,weight_decay,embed_dim_cap,n_params,best_val_epoch,train_mse,val_mse,test_mse,train_rmse,val_rmse,test_rmse,train_mdape,val_mdape,test_mdape,train_acc_pct,val_acc_pct,test_acc_pct,train_mse_last,val_mse_last,test_mse_last,train_rmse_last,val_rmse_last,test_rmse_last,train_mdape_last,val_mdape_last,test_mdape_last,train_acc_pct_last,val_acc_pct_last,test_acc_pct_last,seconds
sweep_deep_test,1,65cfc35320,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,big4,"1024,512,256,128",4096,0.004,0.0,0.0005,32,907265,10,0.14968769836425783,0.18536339864786233,0.19422451380383995,0.3868949448677998,0.4305384984503271,0.44070910338208347,0.22274960577487946,0.22664164006710052,0.22557906806468964,77.72503942251205,77.33583599328995,77.44209319353104,0.14968769836425783,0.18536339864786233,0.19422451380383995,0.3868949448677998,0.4305384984503271,0.44070910338208347,0.22274960577487946,0.22664164006710052,0.22557906806468964,77.72503942251205,77.33583599328995,77.44209319353104,14.62
sweep_deep_test,2,f686feb0ef,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,big5,"1024,512,256,128,64",2048,0.0015,0.05,1e-05,32,915457,10,0.19812465393066406,0.2435646186002377,0.276420164368785,0.44511195662514397,0.49352266270176254,0.5257567539925522,0.2398734986782074,0.2430488020181656,0.24215833842754364,76.01265013217926,75.69511979818344,75.78416615724564,0.19812465393066406,0.2435646186002377,0.276420164368785,0.44511195662514397,0.49352266270176254,0.5257567539925522,0.2398734986782074,0.2430488020181656,0.24215833842754364,76.01265013217926,75.69511979818344,75.78416615724564,19.11
sweep_deep_test,3,3cf3250203,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,deep4,"512,256,128,64",4096,0.004,0.05,0.0,64,451801,10,0.17443429870605467,0.2106276966829039,0.22188365135401278,0.4176533235903369,0.45894193171130476,0.4710452752698118,0.2306985706090927,0.234434574842453,0.233462393283844,76.93014293909073,76.5565425157547,76.6537606716156,0.17443429870605467,0.2106276966829039,0.22188365135401278,0.4176533235903369,0.45894193171130476,0.4710452752698118,0.2306985706090927,0.234434574842453,0.233462393283844,76.93014293909073,76.5565425157547,76.6537606716156,16.47
sweep_deep_test,4,a1b3edc6cb,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,huge4,"2048,1024,512,256",2048,0.003,0.05,0.0,64,3192025,10,0.37987262573242186,0.3967495178325415,0.4064483509878209,0.6163380774643262,0.6298805583859066,0.6375330195274759,0.37999746203422546,0.3801443576812744,0.38035908341407776,62.000253796577454,61.98556423187256,61.964091658592224,0.37987262573242186,0.3967495178325415,0.4064483509878209,0.6163380774643262,0.6298805583859066,0.6375330195274759,0.37999746203422546,0.3801443576812744,0.38035908341407776,62.000253796577454,61.98556423187256,61.964091658592224,45.54
sweep_deep_test,5,59eba0228a,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,big4,"1024,512,256,128",2048,0.002,0.0,0.0001,32,907265,10,0.14054483764648437,0.17454863879617605,0.18328639964140808,0.3748931016256292,0.41779018513624283,0.428119609036316,0.2202770709991455,0.22396719455718994,0.2231990396976471,77.97229290008545,77.603280544281,77.68009603023529,0.14054483764648437,0.17454863879617605,0.18328639964140808,0.3748931016256292,0.41779018513624283,0.428119609036316,0.2202770709991455,0.22396719455718994,0.2231990396976471,77.97229290008545,77.603280544281,77.68009603023529,18.85
sweep_deep_test,6,b9285b369d,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,deep6,"1024,512,512,256,128,64",2048,0.003,0.0,1e-06,64,1291993,10,0.1673801608276367,0.20743329814028807,0.22202572668923862,0.4091212055462742,0.45544845826974545,0.47119605971319267,0.23067787289619446,0.2353738248348236,0.23421311378479004,76.93221271038055,76.46261751651764,76.578688621521,0.1673801608276367,0.20743329814028807,0.22202572668923862,0.4091212055462742,0.45544845826974545,0.47119605971319267,0.23067787289619446,0.2353738248348236,0.23421311378479004,76.93221271038055,76.46261751651764,76.578688621521,22.18
sweep_deep_test,7,06619dd0f2,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,big4,"1024,512,256,128",2048,0.002,0.0,0.0001,128,1021145,10,0.13576437438964845,0.164296778869748,0.1723193643829179,0.3684621749781766,0.4053353905961679,0.4151136764585309,0.21442094445228577,0.21983537077903748,0.21922913193702698,78.55790555477142,78.01646292209625,78.0770868062973,0.13576437438964845,0.164296778869748,0.1723193643829179,0.3684621749781766,0.4053353905961679,0.4151136764585309,0.21442094445228577,0.21983537077903748,0.21922913193702698,78.55790555477142,78.01646292209625,78.0770868062973,18.98
sweep_deep_test,8,68ca77eb69,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,wide3,"1024,1024,512",2048,0.0015,0.05,0.0001,32,1793025,10,0.13878340042114257,0.17041358641094592,0.1777153842809913,0.37253644173576167,0.41281180507701803,0.42156302527734957,0.22011315822601318,0.22477564215660095,0.22278638184070587,77.98868417739868,77.5224357843399,77.72136181592941,0.13878340042114257,0.17041358641094592,0.1777153842809913,0.37253644173576167,0.41281180507701803,0.42156302527734957,0.22011315822601318,0.22477564215660095,0.22278638184070587,77.98868417739868,77.5224357843399,77.72136181592941,30.67
sweep_deep_test,9,3a2cee8a71,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,huge3,"2048,1024,512",4096,0.001,0.1,0.0,128,3060953,10,0.19426622741699218,0.2365488829585777,0.25487592639512663,0.4407564264046438,0.4863629128115935,0.5048523807957398,0.23703253269195557,0.23961696028709412,0.23898808658123016,76.29674673080444,76.03830397129059,76.10119134187698,0.19426622741699218,0.2365488829585777,0.25487592639512663,0.4407564264046438,0.4863629128115935,0.5048523807957398,0.23703253269195557,0.23961696028709412,0.23898808658123016,76.29674673080444,76.03830397129059,76.10119134187698,36.17
sweep_deep_test,10,e45426507f,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,deep4,"512,256,128,64",4096,0.004,0.1,0.0,32,351233,10,0.19216992614746095,0.23879014283907446,0.2699738811178608,0.438371903921158,0.488661583142234,0.5195901087567592,0.24040083587169647,0.24472568929195404,0.2423192709684372,75.95991641283035,75.5274310708046,75.76807290315628,0.19216992614746095,0.23879014283907446,0.2699738811178608,0.438371903921158,0.488661583142234,0.5195901087567592,0.24040083587169647,0.24472568929195404,0.2423192709684372,75.95991641283035,75.5274310708046,75.76807290315628,15.57
sweep_deep_test,11,d2eb26dea6,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,big4,"1024,512,256,128",8192,0.003,0.2,0.001,32,907265,10,0.33969767700195314,0.4124249811109431,0.4936370050007317,0.5828358919987282,0.6422032241517813,0.7025930578939218,0.2973628342151642,0.3017239570617676,0.29972195625305176,70.26371657848358,69.82760429382324,70.02780437469482,0.33969767700195314,0.4124249811109431,0.4936370050007317,0.5828358919987282,0.6422032241517813,0.7025930578939218,0.2973628342151642,0.3017239570617676,0.29972195625305176,70.26371657848358,69.82760429382324,70.02780437469482,20.79
sweep_deep_test,12,6b420b775c,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,huge4,"2048,1024,512,256",8192,0.001,0.2,0.0,128,3192025,10,0.4464890362548828,0.5099593908141954,0.9377255190839628,0.6681983509818643,0.7141144101712241,0.9683622871033148,0.31175974011421204,0.30812782049179077,0.30938634276390076,68.8240259885788,69.18721795082092,69.06136572360992,0.4464890362548828,0.5099593908141954,0.9377255190839628,0.6681983509818643,0.7141144101712241,0.9683622871033148,0.31175974011421204,0.30812782049179077,0.30938634276390076,68.8240259885788,69.18721795082092,69.06136572360992,36.74
sweep_deep_test,13,4481d0f9e6,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,deep4,"512,256,128,64",4096,0.002,0.1,0.001,32,351233,10,0.29541273834228515,0.351700535311169,0.5035076024394355,0.5435188481941405,0.5930434514529007,0.7095826959836573,0.26564183831214905,0.26810991764068604,0.26754340529441833,73.4358161687851,73.1890082359314,73.24565947055817,0.29541273834228515,0.351700535311169,0.5035076024394355,0.5435188481941405,0.5930434514529007,0.7095826959836573,0.26564183831214905,0.26810991764068604,0.26754340529441833,73.4358161687851,73.1890082359314,73.24565947055817,15.07
sweep_deep_test,14,eeaf5d3902,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,big5,"1024,512,256,128,64",1024,0.003,0.0,1e-05,128,1029337,10,0.13638420608520507,0.1691022239041712,0.17778614183269173,0.36930232342242997,0.411220407937363,0.42164693978812623,0.2133287489414215,0.220348060131073,0.21871478855609894,78.66712510585785,77.9651939868927,78.1285211443901,0.13638420608520507,0.1691022239041712,0.17778614183269173,0.36930232342242997,0.411220407937363,0.42164693978812623,0.2133287489414215,0.220348060131073,0.21871478855609894,78.66712510585785,77.9651939868927,78.1285211443901,20.17
sweep_deep_test,15,d4f11d2756,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,big4,"1024,512,256,128",2048,0.004,0.05,0.001,32,907265,7,0.13990473861694336,0.17023798197364642,0.17390184371630102,0.37403841863763587,0.41259905716524176,0.4170153998550905,0.22306080162525177,0.22815679013729095,0.22737936675548553,77.69391983747482,77.1843209862709,77.26206332445145,0.14368041900634765,0.17177733925856814,0.1744305941874878,0.3790520003988208,0.41446029877247365,0.41764888864629796,0.2209617644548416,0.22815896570682526,0.22699925303459167,77.90382355451584,77.18410342931747,77.30007469654083,21.36
sweep_deep_test,16,c79bfd6e0d,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,huge4,"2048,1024,512,256",4096,0.0015,0.2,0.0,32,3051521,9,0.31936417236328124,0.3890282456186273,0.4995306533267365,0.5651231479627085,0.6237212884122422,0.7067748250516118,0.278715580701828,0.2818912863731384,0.28141114115715027,72.1284419298172,71.81087136268616,71.85888588428497,0.3259657556152344,0.389287488342965,0.4740729992173563,0.5709341079452465,0.6239290731669466,0.6885295921144975,0.28839004039764404,0.29025542736053467,0.2906038761138916,71.1609959602356,70.97445726394653,70.93961238861084,37.34
