source,run,config_id,data,feature_set,seed,split_seed,split_strategy,train_max_samples,n_train_full,n_train_used,n_val,n_test,epochs,name,hidden_dims,batch_size,lr,dropout,weight_decay,embed_dim_cap,n_params,best_val_epoch,train_mse,val_mse,test_mse,train_rmse,val_rmse,test_rmse,train_mdape,val_mdape,test_mdape,train_acc_pct,val_acc_pct,test_acc_pct,seconds
sweep_deep_test,1,cc3afe06f2,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,wide2,"512,256",2048,0.004,0.2,0.001,64,410841,3,0.27956804443359373,0.31586061588734754,0.4027119493947033,0.5287419450295141,0.5620147826235068,0.6345958945618095,0.2689281105995178,0.27058061957359314,0.2690565884113312,73.10718894004822,72.94193804264069,73.09434115886688,3.27
sweep_deep_test,2,d0248e0c7b,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,big3,"1024,512,256",8192,0.003,0.1,0.0001,64,988377,3,5.34691005859375,5.426944296750437,6.575823496209165,2.3123386556890297,2.3295802833880694,2.564336853108258,7.428555488586426,7.449277877807617,7.377721786499023,0.0,0.0,0.0,5.21
sweep_deep_test,3,8bfd0bb2d6,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,base2,"256,128",8192,0.0005,0.2,0.001,64,285913,3,79.31408890625,79.16176732932689,79.32058966997435,8.905845771528384,8.897289886776022,8.906210735771658,0.9998646378517151,0.9998615980148315,0.999862790107727,0.013536214828491211,0.013840198516845703,0.013720989227294922,2.99
sweep_deep_test,4,63ccb11bda,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,small2,"128,64",2048,0.003,0.05,0.0001,64,248025,3,0.6973376049804687,0.7633612421290515,0.7927324230182609,0.8350674254097502,0.8737054664639861,0.890355222940968,0.3650529980659485,0.3650265038013458,0.3656342029571533,63.49470019340515,63.49734961986542,63.43657970428467,2.28
sweep_deep_test,5,e0c85393d0,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,big3,"1024,512,256",2048,0.004,0.05,0.0,32,874497,3,0.2539763781738281,0.31049461208651824,0.3396326860199672,0.5039606910998398,0.5572204340173809,0.5827801352310897,0.2834228277206421,0.28413039445877075,0.2836874723434448,71.65771722793579,71.58696055412292,71.63125276565552,4.96
sweep_deep_test,6,6a43343218,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,deep3,"512,256,128",2048,0.001,0.2,0.001,64,443609,3,0.6416579028320313,0.6959580575830091,1.2957105003932816,0.8010355190826629,0.8342410068936968,1.1382928008176463,0.33805158734321594,0.3382774591445923,0.33590278029441833,66.1948412656784,66.17225408554077,66.40972197055817,3.48
sweep_deep_test,7,7b1ec87cc9,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,small2,"128,64",1024,0.001,0.1,0.0,32,157441,3,0.9686434362792968,1.0561499653326791,1.1721748684651212,0.9841968483384291,1.0276915711110406,1.0826702491826037,0.4067326784133911,0.4082656800746918,0.40933266282081604,59.32673215866089,59.17343199253082,59.066733717918396,2.21
sweep_deep_test,8,f5ca2877d0,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,base2,"256,128",2048,0.002,0.0,0.0001,32,192001,3,0.6022014453125,0.6656354770133636,0.9728977808599847,0.7760163950023865,0.8158648644312142,0.9863558084484446,0.41695651412010193,0.41689565777778625,0.420251727104187,58.30434858798981,58.310434222221375,57.9748272895813,2.38
sweep_deep_test,9,5ee57f1c25,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,small2,"128,64",1024,0.002,0.2,0.0001,64,248025,3,0.4640131750488281,0.5175328908371045,0.5563983054261553,0.6811851253872387,0.7193975888457679,0.7459211120662528,0.3178243041038513,0.31906238198280334,0.32070550322532654,68.21756958961487,68.09376180171967,67.92944967746735,2.26
sweep_deep_test,10,d33de0e0b4,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,wide2,"512,256",2048,0.001,0.2,0.001,64,410841,3,0.5770876049804687,0.6340404356913194,1.2183133920973022,0.7596628232186098,0.7962665607014522,1.1037723461372377,0.3468315005302429,0.3458248972892761,0.3484978675842285,65.31684994697571,65.41751027107239,65.15021324157715,3.17
sweep_deep_test,11,3582b2580e,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,deep4,"512,256,128,64",1024,0.001,0.05,0.001,32,351233,3,0.4700715173339844,0.5387363669255271,1.0794827620631438,0.6856176174326214,0.7339866258492228,1.0389815985199853,0.29076236486434937,0.29297688603401184,0.29222384095191956,70.92376351356506,70.70231139659882,70.77761590480804,3.44
