Test-focused sweep: runs=1000 / candidates=10080 (epochs=10, split_strategy=random, seed=42, split=70/15/15, train_max_samples=50000)
[037/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.003  do=0.1  wd=0.0005 test_rmse=0.4776  test_acc=76.22% (last=69.31%)  (21.83s)
[038/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.002  do=0.2  wd=1e-05  test_rmse=0.7597  test_acc=68.69% (last=58.45%)  (22.24s)
[039/1000] wide3  hidden=1024,1024,512            bs=8192 lr=0.002  do=0.0  wd=0.0005 test_rmse=0.5343  test_acc=75.22% (last=75.22%)  (22.23s)
[040/1000] wide3  hidden=1024,1024,512            bs=2048 lr=0.001  do=0.1  wd=0.001  test_rmse=0.4488  test_acc=77.26% (last=77.26%)  (28.68s)
[041/1000] huge3  hidden=2048,1024,512            bs=2048 lr=0.002  do=0.2  wd=0.001  test_rmse=0.4330  test_acc=77.20% (last=77.20%)  (39.01s)
[042/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.003  do=0.0  wd=0.0    test_rmse=0.3844  test_acc=78.57% (last=78.57%)  (38.16s)
[043/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.003  do=0.2  wd=0.001  test_rmse=0.4818  test_acc=74.43% (last=59.68%)  (26.37s)
[044/1000] deep6  hidden=1024,512,512,256,128,64  bs=4096 lr=0.004  do=0.0  wd=0.0001 test_rmse=0.4559  test_acc=77.06% (last=77.06%)  (21.36s)
[045/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.002  do=0.1  wd=1e-06  test_rmse=0.5000  test_acc=75.30% (last=75.30%)  (14.98s)
[046/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.002  do=0.0  wd=0.0    test_rmse=0.4128  test_acc=78.22% (last=78.46%)  (20.95s)
[047/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.001  do=0.1  wd=1e-06  test_rmse=0.4352  test_acc=76.95% (last=73.49%)  (21.9s)
[048/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.004  do=0.05 wd=0.0005 test_rmse=0.5033  test_acc=76.10% (last=76.10%)  (14.7s)
[049/1000] deep6  hidden=1024,512,512,256,128,64  bs=1024 lr=0.001  do=0.0  wd=0.0001 test_rmse=0.4206  test_acc=78.16% (last=78.16%)  (22.75s)
[050/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.001  do=0.1  wd=1e-05  test_rmse=0.4661  test_acc=76.07% (last=73.08%)  (23.58s)
[051/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.003  do=0.2  wd=0.0001 test_rmse=0.4931  test_acc=74.98% (last=74.98%)  (14.66s)
[052/1000] huge3  hidden=2048,1024,512            bs=4096 lr=0.001  do=0.2  wd=0.0001 test_rmse=0.5124  test_acc=75.80% (last=75.80%)  (41.57s)
[053/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.001  do=0.05 wd=1e-05  test_rmse=0.9243  test_acc=68.47% (last=67.61%)  (38.09s)
[054/1000] wide3  hidden=1024,1024,512            bs=8192 lr=0.004  do=0.2  wd=1e-06  test_rmse=0.5583  test_acc=71.77% (last=71.77%)  (27.61s)
[055/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.0015 do=0.2  wd=0.0001 test_rmse=0.4746  test_acc=75.19% (last=55.19%)  (24.97s)
[056/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.004  do=0.05 wd=0.0001 test_rmse=0.4163  test_acc=76.38% (last=76.40%)  (24.96s)
[057/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.002  do=0.1  wd=0.0001 test_rmse=0.6402  test_acc=72.82% (last=72.82%)  (22.61s)
[058/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.001  do=0.05 wd=0.0    test_rmse=0.4233  test_acc=77.38% (last=77.62%)  (25.06s)
[059/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.002  do=0.2  wd=0.0001 test_rmse=0.4535  test_acc=73.91% (last=74.74%)  (22.24s)
[060/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.0015 do=0.05 wd=0.0005 test_rmse=0.4713  test_acc=76.26% (last=76.26%)  (25.19s)
[061/1000] huge3  hidden=2048,1024,512            bs=8192 lr=0.0015 do=0.2  wd=0.0005 test_rmse=0.5698  test_acc=73.95% (last=73.95%)  (34.53s)
[062/1000] deep4  hidden=512,256,128,64           bs=8192 lr=0.002  do=0.2  wd=1e-05  test_rmse=0.9075  test_acc=66.98% (last=66.98%)  (14.7s)
[063/1000] wide3  hidden=1024,1024,512            bs=2048 lr=0.004  do=0.1  wd=0.001  test_rmse=0.3928  test_acc=78.43% (last=77.99%)  (28.66s)
[064/1000] deep6  hidden=1024,512,512,256,128,64  bs=8192 lr=0.003  do=0.0  wd=0.0001 test_rmse=0.7353  test_acc=67.42% (last=67.42%)  (20.01s)
[065/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.002  do=0.0  wd=1e-05  test_rmse=0.5604  test_acc=74.73% (last=74.73%)  (13.83s)
[066/1000] huge3  hidden=2048,1024,512            bs=8192 lr=0.004  do=0.1  wd=1e-05  test_rmse=0.9826  test_acc=49.37% (last=49.37%)  (35.19s)
[067/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.0015 do=0.1  wd=0.0    test_rmse=0.6555  test_acc=72.76% (last=72.76%)  (38.25s)
[068/1000] wide3  hidden=1024,1024,512            bs=4096 lr=0.0015 do=0.0  wd=0.0    test_rmse=0.4965  test_acc=76.28% (last=76.28%)  (23.04s)
[069/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.002  do=0.2  wd=0.0    test_rmse=0.5539  test_acc=73.83% (last=73.83%)  (21.0s)
[070/1000] deep6  hidden=1024,512,512,256,128,64  bs=4096 lr=0.002  do=0.2  wd=1e-05  test_rmse=0.7019  test_acc=66.54% (last=65.17%)  (25.52s)
[071/1000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.003  do=0.2  wd=0.0    test_rmse=0.4530  test_acc=75.14% (last=51.07%)  (22.13s)
[072/1000] huge3  hidden=2048,1024,512            bs=2048 lr=0.0015 do=0.2  wd=1e-06  test_rmse=0.4111  test_acc=77.57% (last=75.44%)  (37.03s)
[073/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.004  do=0.0  wd=1e-06  test_rmse=0.7318  test_acc=65.18% (last=65.18%)  (31.26s)
[074/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.003  do=0.1  wd=0.0001 test_rmse=0.5276  test_acc=74.77% (last=74.77%)  (16.11s)
[075/1000] huge4  hidden=2048,1024,512,256        bs=2048 lr=0.003  do=0.1  wd=0.001  test_rmse=0.5152  test_acc=68.98% (last=69.34%)  (38.98s)
[076/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.004  do=0.0  wd=0.0005 test_rmse=0.3754  test_acc=79.38% (last=79.38%)  (37.52s)
[077/1000] big5   hidden=1024,512,256,128,64      bs=8192 lr=0.001  do=0.05 wd=1e-05  test_rmse=1.0018  test_acc=66.70% (last=66.70%)  (22.35s)
[078/1000] huge3  hidden=2048,1024,512            bs=4096 lr=0.002  do=0.2  wd=0.0005 test_rmse=0.5332  test_acc=74.68% (last=74.68%)  (37.31s)
[079/1000] big4   hidden=1024,512,256,128         bs=8192 lr=0.001  do=0.0  wd=1e-05  test_rmse=0.9414  test_acc=70.44% (last=70.44%)  (17.49s)
[080/1000] big4   hidden=1024,512,256,128         bs=8192 lr=0.0015 do=0.2  wd=1e-06  test_rmse=0.9865  test_acc=66.58% (last=67.20%)  (21.23s)
[081/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.0015 do=0.1  wd=1e-06  test_rmse=0.4277  test_acc=76.70% (last=73.95%)  (24.32s)
[082/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.0015 do=0.0  wd=0.001  test_rmse=0.7466  test_acc=73.42% (last=73.42%)  (17.67s)
[083/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.0015 do=0.2  wd=0.0    test_rmse=0.6458  test_acc=73.43% (last=73.43%)  (15.68s)
[084/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.004  do=0.1  wd=1e-06  test_rmse=0.4541  test_acc=77.15% (last=76.86%)  (20.86s)
[085/1000] huge3  hidden=2048,1024,512            bs=8192 lr=0.003  do=0.2  wd=1e-05  test_rmse=0.5686  test_acc=72.18% (last=72.18%)  (35.4s)
[086/1000] wide3  hidden=1024,1024,512            bs=1024 lr=0.001  do=0.05 wd=0.0    test_rmse=0.3984  test_acc=78.10% (last=78.10%)  (30.87s)
[087/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.003  do=0.2  wd=0.0001 test_rmse=0.4747  test_acc=73.75% (last=73.75%)  (15.21s)
[088/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.004  do=0.1  wd=1e-05  test_rmse=0.3929  test_acc=77.74% (last=77.74%)  (45.89s)
[089/1000] deep6  hidden=1024,512,512,256,128,64  bs=8192 lr=0.003  do=0.05 wd=1e-05  test_rmse=1.0084  test_acc=45.57% (last=45.57%)  (24.61s)
[090/1000] huge3  hidden=2048,1024,512            bs=1024 lr=0.0015 do=0.05 wd=1e-05  test_rmse=0.3902  test_acc=78.29% (last=72.02%)  (43.32s)
[091/1000] wide3  hidden=1024,1024,512            bs=4096 lr=0.0015 do=0.1  wd=0.0005 test_rmse=0.5184  test_acc=75.65% (last=75.65%)  (27.32s)
[092/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.004  do=0.05 wd=1e-06  test_rmse=0.4298  test_acc=76.98% (last=76.98%)  (23.49s)
[093/1000] wide3  hidden=1024,1024,512            bs=8192 lr=0.004  do=0.2  wd=0.0001 test_rmse=0.5583  test_acc=71.77% (last=71.77%)  (28.41s)
[094/1000] wide3  hidden=1024,1024,512            bs=8192 lr=0.002  do=0.0  wd=0.001  test_rmse=0.5343  test_acc=75.22% (last=75.22%)  (23.57s)
[095/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.001  do=0.0  wd=0.0001 test_rmse=0.4047  test_acc=77.63% (last=78.18%)  (39.2s)
[096/1000] huge3  hidden=2048,1024,512            bs=4096 lr=0.002  do=0.05 wd=0.001  test_rmse=0.5375  test_acc=74.38% (last=74.38%)  (35.35s)
[097/1000] big5   hidden=1024,512,256,128,64      bs=8192 lr=0.004  do=0.2  wd=1e-05  test_rmse=1.1467  test_acc=34.57% (last=21.52%)  (20.7s)
[098/1000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.001  do=0.05 wd=1e-05  test_rmse=0.5522  test_acc=75.75% (last=75.75%)  (22.13s)
[099/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.002  do=0.0  wd=0.0    test_rmse=0.4238  test_acc=78.15% (last=78.15%)  (21.18s)
[100/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.0015 do=0.2  wd=1e-05  test_rmse=0.6995  test_acc=72.29% (last=72.29%)  (36.86s)
[101/1000] wide3  hidden=1024,1024,512            bs=8192 lr=0.003  do=0.2  wd=0.0005 test_rmse=1.3331  test_acc=33.95% (last=33.95%)  (26.06s)
[102/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.001  do=0.1  wd=0.0001 test_rmse=0.7312  test_acc=72.39% (last=72.39%)  (15.17s)
[103/1000] deep6  hidden=1024,512,512,256,128,64  bs=8192 lr=0.003  do=0.2  wd=0.0005 test_rmse=1.5706  test_acc=32.12% (last=13.13%)  (24.04s)
[104/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.0015 do=0.2  wd=0.0005 test_rmse=1.0122  test_acc=67.46% (last=59.43%)  (21.74s)
[105/1000] deep4  hidden=512,256,128,64           bs=8192 lr=0.002  do=0.1  wd=0.0005 test_rmse=0.7224  test_acc=69.07% (last=69.07%)  (14.79s)
[106/1000] wide3  hidden=1024,1024,512            bs=4096 lr=0.003  do=0.0  wd=0.001  test_rmse=0.6274  test_acc=72.38% (last=72.38%)  (22.76s)
[107/1000] deep6  hidden=1024,512,512,256,128,64  bs=8192 lr=0.001  do=0.0  wd=0.001  test_rmse=0.9291  test_acc=70.03% (last=70.03%)  (19.91s)
[108/1000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.0015 do=0.1  wd=0.0005 test_rmse=0.5350  test_acc=73.72% (last=71.93%)  (21.83s)
[109/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.002  do=0.2  wd=0.0    test_rmse=0.4539  test_acc=73.95% (last=74.76%)  (24.49s)
[110/1000] huge4  hidden=2048,1024,512,256        bs=2048 lr=0.004  do=0.2  wd=0.001  test_rmse=0.5618  test_acc=65.93% (last=66.72%)  (38.68s)
[111/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.003  do=0.05 wd=0.0005 test_rmse=0.5226  test_acc=74.62% (last=62.94%)  (26.2s)
[112/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.004  do=0.1  wd=0.0    test_rmse=0.4366  test_acc=74.39% (last=74.39%)  (16.4s)
[113/1000] huge3  hidden=2048,1024,512            bs=2048 lr=0.003  do=0.0  wd=0.0005 test_rmse=0.3801  test_acc=79.21% (last=79.21%)  (30.62s)
[114/1000] deep6  hidden=1024,512,512,256,128,64  bs=4096 lr=0.001  do=0.05 wd=0.0001 test_rmse=0.6868  test_acc=72.34% (last=72.34%)  (27.88s)
[115/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.004  do=0.0  wd=0.0001 test_rmse=0.4643  test_acc=76.16% (last=76.16%)  (32.4s)
[116/1000] wide3  hidden=1024,1024,512            bs=4096 lr=0.001  do=0.0  wd=0.0001 test_rmse=0.5455  test_acc=75.52% (last=75.52%)  (22.86s)
[117/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.0015 do=0.2  wd=0.0    test_rmse=1.2249  test_acc=56.49% (last=56.49%)  (36.28s)
