Test-focused sweep: runs=1000 / candidates=10080 (epochs=10, split_strategy=random, seed=42, split=70/15/15, train_max_samples=50000)
[160/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.003  do=0.1  wd=1e-05  test_rmse=0.4779  test_acc=76.21% (last=69.27%)  (23.53s)
[161/1000] deep6  hidden=1024,512,512,256,128,64  bs=4096 lr=0.003  do=0.2  wd=0.0001 test_rmse=1.7339  test_acc=24.58% (last=8.30%)  (25.56s)
[162/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.0015 do=0.0  wd=0.0001 test_rmse=0.9292  test_acc=67.10% (last=67.10%)  (30.87s)
[163/1000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.0015 do=0.1  wd=0.0    test_rmse=0.5002  test_acc=75.87% (last=64.91%)  (23.52s)
[164/1000] wide3  hidden=1024,1024,512            bs=8192 lr=0.0015 do=0.05 wd=0.0005 test_rmse=0.7283  test_acc=67.02% (last=67.02%)  (26.02s)
[165/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.003  do=0.2  wd=0.0    test_rmse=0.5381  test_acc=74.47% (last=53.21%)  (24.94s)
[166/1000] big4   hidden=1024,512,256,128         bs=2048 lr=0.003  do=0.2  wd=1e-06  test_rmse=0.4911  test_acc=75.97% (last=75.97%)  (23.59s)
[167/1000] huge3  hidden=2048,1024,512            bs=4096 lr=0.0015 do=0.05 wd=0.001  test_rmse=0.4631  test_acc=76.77% (last=76.77%)  (35.16s)
[168/1000] wide3  hidden=1024,1024,512            bs=2048 lr=0.0015 do=0.2  wd=0.001  test_rmse=0.4456  test_acc=77.30% (last=77.30%)  (29.35s)
[169/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.003  do=0.0  wd=0.0001 test_rmse=0.4488  test_acc=77.28% (last=77.28%)  (13.22s)
[170/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.004  do=0.05 wd=0.0001 test_rmse=0.4630  test_acc=76.52% (last=76.52%)  (26.43s)
[171/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.002  do=0.0  wd=1e-06  test_rmse=0.4703  test_acc=76.82% (last=76.82%)  (13.25s)
[172/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.002  do=0.0  wd=1e-06  test_rmse=0.3868  test_acc=78.77% (last=78.77%)  (20.99s)
[173/1000] big5   hidden=1024,512,256,128,64      bs=8192 lr=0.004  do=0.05 wd=0.001  test_rmse=0.7957  test_acc=61.84% (last=61.84%)  (20.83s)
[174/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.003  do=0.05 wd=0.0    test_rmse=0.5132  test_acc=75.62% (last=75.62%)  (15.09s)
[175/1000] deep6  hidden=1024,512,512,256,128,64  bs=8192 lr=0.002  do=0.05 wd=0.0005 test_rmse=0.7675  test_acc=68.62% (last=68.62%)  (23.71s)
[176/1000] huge3  hidden=2048,1024,512            bs=1024 lr=0.0015 do=0.2  wd=0.0001 test_rmse=0.4132  test_acc=76.72% (last=76.94%)  (44.14s)
[177/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.0015 do=0.0  wd=0.0    test_rmse=0.3985  test_acc=78.50% (last=78.50%)  (38.26s)
[178/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.0015 do=0.1  wd=0.0005 test_rmse=0.4119  test_acc=77.76% (last=77.76%)  (45.99s)
[179/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.001  do=0.1  wd=0.001  test_rmse=0.4354  test_acc=76.95% (last=73.56%)  (25.46s)
[180/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.003  do=0.05 wd=0.001  test_rmse=1.0873  test_acc=44.19% (last=25.22%)  (26.44s)
[181/1000] deep4  hidden=512,256,128,64           bs=8192 lr=0.002  do=0.2  wd=0.001  test_rmse=0.7425  test_acc=69.56% (last=69.56%)  (15.04s)
[182/1000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.003  do=0.1  wd=1e-06  test_rmse=0.4595  test_acc=74.61% (last=69.48%)  (23.56s)
[183/1000] huge3  hidden=2048,1024,512            bs=1024 lr=0.0015 do=0.1  wd=0.001  test_rmse=0.3885  test_acc=77.65% (last=77.65%)  (43.25s)
[184/1000] huge3  hidden=2048,1024,512            bs=4096 lr=0.003  do=0.2  wd=0.0005 test_rmse=0.4445  test_acc=76.97% (last=76.97%)  (34.97s)
[185/1000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.001  do=0.1  wd=0.001  test_rmse=0.5982  test_acc=74.47% (last=74.47%)  (23.49s)
[186/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.003  do=0.05 wd=0.0001 test_rmse=0.5675  test_acc=74.62% (last=74.62%)  (21.39s)
[187/1000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.002  do=0.05 wd=0.0005 test_rmse=0.5545  test_acc=75.96% (last=68.97%)  (22.57s)
[188/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.003  do=0.05 wd=1e-05  test_rmse=0.4121  test_acc=77.41% (last=76.47%)  (24.26s)
[189/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.0015 do=0.2  wd=0.0005 test_rmse=0.5892  test_acc=74.83% (last=74.83%)  (22.57s)
[190/1000] huge3  hidden=2048,1024,512            bs=1024 lr=0.003  do=0.1  wd=0.0    test_rmse=0.3906  test_acc=78.26% (last=74.81%)  (44.36s)
[191/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.002  do=0.0  wd=0.0005 test_rmse=0.5604  test_acc=74.73% (last=74.73%)  (15.34s)
[192/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.002  do=0.2  wd=0.0001 test_rmse=0.4781  test_acc=73.90% (last=66.73%)  (24.61s)
[193/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.004  do=0.0  wd=0.0005 test_rmse=0.4808  test_acc=75.45% (last=75.45%)  (36.0s)
[194/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.003  do=0.0  wd=0.0001 test_rmse=0.3926  test_acc=78.61% (last=77.86%)  (20.26s)
[195/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.003  do=0.05 wd=0.0005 test_rmse=0.4281  test_acc=74.97% (last=76.36%)  (25.57s)
[196/1000] huge3  hidden=2048,1024,512            bs=4096 lr=0.001  do=0.05 wd=0.0005 test_rmse=0.5045  test_acc=76.16% (last=76.16%)  (39.89s)
[197/1000] wide3  hidden=1024,1024,512            bs=8192 lr=0.001  do=0.0  wd=0.0    test_rmse=0.9856  test_acc=68.73% (last=68.73%)  (22.63s)
[198/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.001  do=0.05 wd=0.001  test_rmse=0.5889  test_acc=73.41% (last=71.67%)  (29.81s)
[199/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.002  do=0.05 wd=1e-05  test_rmse=0.4431  test_acc=76.95% (last=76.95%)  (26.07s)
[200/1000] huge3  hidden=2048,1024,512            bs=2048 lr=0.002  do=0.1  wd=0.001  test_rmse=0.4442  test_acc=76.96% (last=76.96%)  (38.74s)
[201/1000] wide3  hidden=1024,1024,512            bs=1024 lr=0.0015 do=0.1  wd=1e-05  test_rmse=0.4027  test_acc=78.38% (last=77.20%)  (35.46s)
[202/1000] huge3  hidden=2048,1024,512            bs=8192 lr=0.0015 do=0.05 wd=0.0005 test_rmse=0.5738  test_acc=73.85% (last=73.85%)  (37.63s)
[203/1000] huge3  hidden=2048,1024,512            bs=1024 lr=0.002  do=0.05 wd=1e-05  test_rmse=0.3877  test_acc=78.60% (last=78.60%)  (43.46s)
[204/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.004  do=0.05 wd=0.0    test_rmse=0.4710  test_acc=76.65% (last=76.65%)  (16.72s)
[205/1000] big5   hidden=1024,512,256,128,64      bs=8192 lr=0.001  do=0.2  wd=0.0005 test_rmse=1.3462  test_acc=60.48% (last=52.49%)  (21.56s)
[206/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.003  do=0.05 wd=0.0005 test_rmse=1.0773  test_acc=44.83% (last=25.65%)  (26.39s)
[207/1000] deep6  hidden=1024,512,512,256,128,64  bs=1024 lr=0.002  do=0.1  wd=0.0    test_rmse=0.5499  test_acc=73.25% (last=67.82%)  (28.61s)
[208/1000] big5   hidden=1024,512,256,128,64      bs=8192 lr=0.0015 do=0.2  wd=1e-05  test_rmse=0.9118  test_acc=64.72% (last=57.59%)  (21.09s)
[209/1000] big5   hidden=1024,512,256,128,64      bs=8192 lr=0.003  do=0.2  wd=0.0001 test_rmse=0.7166  test_acc=65.90% (last=51.78%)  (21.29s)
[210/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.003  do=0.05 wd=1e-06  test_rmse=0.5675  test_acc=74.61% (last=74.61%)  (21.29s)
[211/1000] huge4  hidden=2048,1024,512,256        bs=2048 lr=0.004  do=0.0  wd=0.0    test_rmse=0.5618  test_acc=66.16% (last=66.40%)  (32.03s)
[212/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.004  do=0.2  wd=0.001  test_rmse=2.8341  test_acc=7.54% (last=4.42%)  (23.87s)
[213/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.004  do=0.0  wd=1e-06  test_rmse=0.4170  test_acc=78.42% (last=78.42%)  (17.82s)
[214/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.004  do=0.1  wd=1e-06  test_rmse=0.4561  test_acc=75.38% (last=75.84%)  (14.33s)
[215/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.002  do=0.0  wd=1e-06  test_rmse=0.5231  test_acc=75.90% (last=75.90%)  (18.53s)
[216/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.004  do=0.1  wd=0.0005 test_rmse=0.8216  test_acc=55.13% (last=13.06%)  (26.61s)
[217/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.001  do=0.0  wd=1e-05  test_rmse=0.4741  test_acc=77.52% (last=77.52%)  (15.18s)
[218/1000] wide3  hidden=1024,1024,512            bs=8192 lr=0.002  do=0.1  wd=0.0001 test_rmse=0.8939  test_acc=66.83% (last=62.40%)  (25.84s)
[219/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.002  do=0.0  wd=0.0    test_rmse=0.5160  test_acc=76.37% (last=76.37%)  (17.95s)
[220/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.001  do=0.2  wd=0.0005 test_rmse=0.6496  test_acc=72.99% (last=72.99%)  (37.71s)
[221/1000] huge3  hidden=2048,1024,512            bs=1024 lr=0.004  do=0.05 wd=0.0001 test_rmse=0.7154  test_acc=69.32% (last=56.88%)  (43.81s)
[222/1000] huge3  hidden=2048,1024,512            bs=2048 lr=0.0015 do=0.05 wd=0.001  test_rmse=0.4016  test_acc=78.34% (last=78.34%)  (36.96s)
[223/1000] big4   hidden=1024,512,256,128         bs=8192 lr=0.001  do=0.05 wd=1e-06  test_rmse=1.1768  test_acc=64.78% (last=64.78%)  (20.8s)
[224/1000] huge3  hidden=2048,1024,512            bs=8192 lr=0.004  do=0.05 wd=0.0005 test_rmse=0.9481  test_acc=52.34% (last=52.34%)  (35.66s)
[225/1000] huge4  hidden=2048,1024,512,256        bs=2048 lr=0.004  do=0.2  wd=1e-05  test_rmse=0.8599  test_acc=46.21% (last=46.21%)  (37.94s)
[226/1000] big4   hidden=1024,512,256,128         bs=2048 lr=0.0015 do=0.2  wd=1e-05  test_rmse=0.4943  test_acc=76.03% (last=76.03%)  (22.17s)
[227/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.002  do=0.1  wd=1e-06  test_rmse=0.5156  test_acc=75.74% (last=75.74%)  (37.26s)
[228/1000] huge3  hidden=2048,1024,512            bs=2048 lr=0.0015 do=0.05 wd=0.001  test_rmse=0.4062  test_acc=78.19% (last=78.19%)  (36.72s)
[229/1000] deep6  hidden=1024,512,512,256,128,64  bs=1024 lr=0.004  do=0.1  wd=0.0    test_rmse=0.5064  test_acc=74.68% (last=32.13%)  (28.93s)
[230/1000] deep6  hidden=1024,512,512,256,128,64  bs=1024 lr=0.002  do=0.0  wd=1e-06  test_rmse=0.4065  test_acc=78.36% (last=78.36%)  (22.95s)
[231/1000] huge3  hidden=2048,1024,512            bs=1024 lr=0.002  do=0.05 wd=1e-05  test_rmse=0.3877  test_acc=78.60% (last=78.60%)  (50.88s)
[232/1000] wide3  hidden=1024,1024,512            bs=4096 lr=0.003  do=0.1  wd=0.0001 test_rmse=0.9871  test_acc=50.24% (last=30.90%)  (31.03s)
[233/1000] deep6  hidden=1024,512,512,256,128,64  bs=8192 lr=0.0015 do=0.2  wd=0.0001 test_rmse=1.0260  test_acc=64.80% (last=64.80%)  (24.46s)
[234/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.003  do=0.05 wd=0.0    test_rmse=0.5675  test_acc=74.61% (last=74.61%)  (21.65s)
[235/1000] deep6  hidden=1024,512,512,256,128,64  bs=1024 lr=0.003  do=0.05 wd=0.001  test_rmse=0.8558  test_acc=53.66% (last=21.07%)  (29.13s)
[236/1000] huge3  hidden=2048,1024,512            bs=2048 lr=0.004  do=0.1  wd=1e-05  test_rmse=0.7818  test_acc=64.39% (last=29.01%)  (36.56s)
[237/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.001  do=0.1  wd=0.001  test_rmse=0.4722  test_acc=76.07% (last=63.28%)  (25.5s)
[238/1000] huge3  hidden=2048,1024,512            bs=1024 lr=0.002  do=0.1  wd=0.0005 test_rmse=0.3879  test_acc=78.48% (last=78.48%)  (45.24s)
[239/1000] huge4  hidden=2048,1024,512,256        bs=2048 lr=0.002  do=0.0  wd=0.001  test_rmse=0.3892  test_acc=78.80% (last=69.41%)  (32.86s)
[240/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.001  do=0.0  wd=1e-06  test_rmse=0.5969  test_acc=74.46% (last=74.46%)  (30.58s)
[241/1000] big4   hidden=1024,512,256,128         bs=2048 lr=0.002  do=0.05 wd=0.001  test_rmse=0.4353  test_acc=77.64% (last=77.64%)  (22.44s)
[242/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.004  do=0.1  wd=1e-06  test_rmse=0.4053  test_acc=77.65% (last=77.34%)  (45.81s)
[243/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.002  do=0.1  wd=0.0    test_rmse=0.5973  test_acc=72.04% (last=72.04%)  (38.52s)
[244/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.0015 do=0.0  wd=0.0005 test_rmse=0.6023  test_acc=73.98% (last=73.98%)  (15.41s)
[245/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.004  do=0.0  wd=0.0    test_rmse=0.4305  test_acc=78.10% (last=78.10%)  (14.01s)
[246/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.001  do=0.0  wd=1e-06  test_rmse=0.4741  test_acc=77.52% (last=77.52%)  (13.99s)
[247/1000] big4   hidden=1024,512,256,128         bs=8192 lr=0.001  do=0.05 wd=1e-06  test_rmse=0.9427  test_acc=70.81% (last=70.81%)  (21.48s)
[248/1000] huge3  hidden=2048,1024,512            bs=1024 lr=0.0015 do=0.05 wd=1e-06  test_rmse=0.3780  test_acc=78.70% (last=78.70%)  (44.85s)
[249/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.003  do=0.05 wd=0.0001 test_rmse=0.4610  test_acc=75.63% (last=74.64%)  (15.28s)
[250/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.002  do=0.05 wd=0.0    test_rmse=0.6562  test_acc=70.46% (last=70.46%)  (37.33s)
[251/1000] deep6  hidden=1024,512,512,256,128,64  bs=1024 lr=0.0015 do=0.05 wd=0.001  test_rmse=0.4860  test_acc=75.49% (last=60.76%)  (28.77s)
[252/1000] deep6  hidden=1024,512,512,256,128,64  bs=1024 lr=0.0015 do=0.1  wd=0.0001 test_rmse=0.4631  test_acc=76.44% (last=58.47%)  (28.19s)
[253/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.002  do=0.2  wd=0.0    test_rmse=0.7277  test_acc=72.55% (last=72.55%)  (15.75s)
[254/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.002  do=0.05 wd=0.0001 test_rmse=0.4019  test_acc=76.90% (last=76.90%)  (25.02s)
[255/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.002  do=0.05 wd=1e-05  test_rmse=0.4344  test_acc=76.49% (last=76.79%)  (15.59s)
[256/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.001  do=0.2  wd=1e-06  test_rmse=0.6114  test_acc=73.43% (last=73.43%)  (15.41s)
[257/1000] huge3  hidden=2048,1024,512            bs=4096 lr=0.0015 do=0.2  wd=1e-05  test_rmse=0.4671  test_acc=76.88% (last=76.88%)  (36.98s)
[258/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.0015 do=0.2  wd=1e-06  test_rmse=0.4190  test_acc=76.82% (last=76.82%)  (45.96s)
[259/1000] deep6  hidden=1024,512,512,256,128,64  bs=8192 lr=0.003  do=0.2  wd=0.0    test_rmse=1.6024  test_acc=34.41% (last=34.41%)  (24.47s)
[260/1000] big4   hidden=1024,512,256,128         bs=8192 lr=0.001  do=0.05 wd=0.001  test_rmse=0.9427  test_acc=70.81% (last=70.81%)  (21.33s)
[261/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.0015 do=0.2  wd=1e-06  test_rmse=0.4668  test_acc=74.00% (last=71.62%)  (24.44s)
[262/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.0015 do=0.05 wd=0.001  test_rmse=0.4136  test_acc=76.83% (last=76.66%)  (22.64s)
[263/1000] huge3  hidden=2048,1024,512            bs=2048 lr=0.0015 do=0.2  wd=0.001  test_rmse=0.4110  test_acc=77.61% (last=75.44%)  (38.05s)
[264/1000] big4   hidden=1024,512,256,128         bs=8192 lr=0.001  do=0.1  wd=1e-06  test_rmse=1.1916  test_acc=63.50% (last=63.50%)  (21.61s)
[265/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.002  do=0.2  wd=0.0    test_rmse=0.4805  test_acc=75.28% (last=66.04%)  (26.85s)
[266/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.0015 do=0.1  wd=0.0001 test_rmse=0.6555  test_acc=72.76% (last=72.76%)  (37.85s)
[267/1000] huge3  hidden=2048,1024,512            bs=8192 lr=0.002  do=0.2  wd=0.0    test_rmse=0.9179  test_acc=60.05% (last=60.05%)  (35.09s)
[268/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.004  do=0.05 wd=0.001  test_rmse=0.6206  test_acc=72.38% (last=72.38%)  (22.17s)
[269/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.001  do=0.2  wd=0.0001 test_rmse=0.7520  test_acc=71.67% (last=71.67%)  (16.3s)
[270/1000] wide3  hidden=1024,1024,512            bs=8192 lr=0.002  do=0.05 wd=1e-05  test_rmse=0.7748  test_acc=66.24% (last=66.24%)  (26.04s)
[271/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.003  do=0.0  wd=1e-06  test_rmse=1.1671  test_acc=50.32% (last=50.32%)  (29.66s)
[272/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.0015 do=0.0  wd=0.0001 test_rmse=0.4318  test_acc=77.93% (last=77.93%)  (14.15s)
[273/1000] huge3  hidden=2048,1024,512            bs=1024 lr=0.003  do=0.05 wd=0.0005 test_rmse=0.3808  test_acc=78.19% (last=78.19%)  (43.36s)
[274/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.0015 do=0.2  wd=0.0005 test_rmse=0.7068  test_acc=71.86% (last=70.93%)  (37.27s)
[275/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.004  do=0.0  wd=1e-06  test_rmse=0.7661  test_acc=59.20% (last=59.20%)  (30.8s)
[276/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.003  do=0.0  wd=0.0005 test_rmse=0.4135  test_acc=78.49% (last=78.49%)  (39.87s)
[277/1000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.002  do=0.05 wd=0.0    test_rmse=0.4940  test_acc=75.87% (last=75.72%)  (24.54s)
[278/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.0015 do=0.1  wd=0.0005 test_rmse=0.5776  test_acc=75.09% (last=75.09%)  (22.72s)
[279/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.002  do=0.1  wd=0.0    test_rmse=0.4448  test_acc=77.37% (last=77.37%)  (37.98s)
[280/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.002  do=0.2  wd=1e-06  test_rmse=0.4539  test_acc=73.95% (last=74.76%)  (25.7s)
[281/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.002  do=0.0  wd=0.0005 test_rmse=0.5001  test_acc=76.76% (last=76.76%)  (14.24s)
[282/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.0015 do=0.2  wd=0.0005 test_rmse=0.6459  test_acc=73.41% (last=73.41%)  (19.36s)
[283/1000] deep6  hidden=1024,512,512,256,128,64  bs=1024 lr=0.004  do=0.0  wd=0.0005 test_rmse=0.4104  test_acc=77.48% (last=77.48%)  (21.92s)
[284/1000] wide3  hidden=1024,1024,512            bs=2048 lr=0.001  do=0.2  wd=1e-06  test_rmse=0.4761  test_acc=76.50% (last=76.50%)  (31.29s)
[285/1000] big4   hidden=1024,512,256,128         bs=2048 lr=0.0015 do=0.05 wd=0.0    test_rmse=0.4796  test_acc=76.89% (last=76.89%)  (24.44s)
[286/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.002  do=0.1  wd=0.001  test_rmse=0.5156  test_acc=75.74% (last=75.74%)  (39.38s)
[287/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.0015 do=0.2  wd=0.001  test_rmse=0.7069  test_acc=71.86% (last=70.94%)  (40.53s)
[288/1000] deep6  hidden=1024,512,512,256,128,64  bs=1024 lr=0.001  do=0.2  wd=0.0001 test_rmse=0.4856  test_acc=75.44% (last=71.19%)  (30.33s)
[289/1000] deep6  hidden=1024,512,512,256,128,64  bs=1024 lr=0.0015 do=0.05 wd=0.001  test_rmse=0.4860  test_acc=75.49% (last=60.76%)  (29.79s)
[290/1000] huge3  hidden=2048,1024,512            bs=4096 lr=0.004  do=0.0  wd=1e-06  test_rmse=0.5263  test_acc=74.60% (last=74.60%)  (30.33s)
[291/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.002  do=0.1  wd=0.0005 test_rmse=0.5869  test_acc=73.94% (last=73.94%)  (16.32s)
[292/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.0015 do=0.2  wd=0.0005 test_rmse=1.2249  test_acc=56.49% (last=56.49%)  (39.66s)
[293/1000] wide3  hidden=1024,1024,512            bs=4096 lr=0.0015 do=0.1  wd=0.0001 test_rmse=0.5183  test_acc=75.69% (last=75.69%)  (28.09s)
[294/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.0015 do=0.1  wd=1e-06  test_rmse=0.5181  test_acc=73.85% (last=73.85%)  (28.39s)
[295/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.003  do=0.1  wd=0.0    test_rmse=0.7734  test_acc=56.06% (last=35.82%)  (27.08s)
[296/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.001  do=0.05 wd=0.0    test_rmse=0.4834  test_acc=75.84% (last=69.54%)  (24.86s)
[297/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.001  do=0.1  wd=1e-06  test_rmse=0.9347  test_acc=71.07% (last=71.07%)  (36.78s)
[298/1000] huge4  hidden=2048,1024,512,256        bs=2048 lr=0.003  do=0.05 wd=0.0    test_rmse=0.6375  test_acc=61.96% (last=61.96%)  (39.31s)
[299/1000] deep6  hidden=1024,512,512,256,128,64  bs=4096 lr=0.004  do=0.05 wd=0.0001 test_rmse=0.5485  test_acc=74.04% (last=72.31%)  (26.31s)
[300/1000] deep6  hidden=1024,512,512,256,128,64  bs=1024 lr=0.001  do=0.0  wd=0.0001 test_rmse=0.4112  test_acc=78.41% (last=78.41%)  (24.44s)
[301/1000] wide3  hidden=1024,1024,512            bs=4096 lr=0.004  do=0.1  wd=0.0001 test_rmse=0.4420  test_acc=76.85% (last=76.85%)  (31.27s)
[302/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.004  do=0.05 wd=1e-05  test_rmse=0.4405  test_acc=76.31% (last=73.57%)  (18.39s)
[303/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.0015 do=0.1  wd=1e-06  test_rmse=0.6161  test_acc=72.89% (last=72.89%)  (41.46s)
[304/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.002  do=0.1  wd=0.0005 test_rmse=0.4035  test_acc=77.08% (last=70.50%)  (46.48s)
[305/1000] huge4  hidden=2048,1024,512,256        bs=2048 lr=0.003  do=0.1  wd=0.0    test_rmse=0.5503  test_acc=68.15% (last=67.56%)  (41.84s)
[306/1000] deep6  hidden=1024,512,512,256,128,64  bs=4096 lr=0.003  do=0.2  wd=1e-05  test_rmse=1.6422  test_acc=27.40% (last=9.97%)  (28.9s)
[307/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.002  do=0.2  wd=0.0005 test_rmse=0.5131  test_acc=74.14% (last=74.14%)  (16.54s)
[308/1000] huge4  hidden=2048,1024,512,256        bs=2048 lr=0.002  do=0.2  wd=1e-06  test_rmse=0.4287  test_acc=77.42% (last=72.19%)  (40.92s)
[309/1000] deep4  hidden=512,256,128,64           bs=8192 lr=0.003  do=0.1  wd=0.0    test_rmse=0.6441  test_acc=69.46% (last=69.46%)  (15.24s)
[310/1000] huge3  hidden=2048,1024,512            bs=8192 lr=0.002  do=0.2  wd=0.0005 test_rmse=0.7869  test_acc=66.61% (last=66.61%)  (36.57s)
[311/1000] wide3  hidden=1024,1024,512            bs=1024 lr=0.0015 do=0.05 wd=1e-05  test_rmse=0.3919  test_acc=78.64% (last=78.00%)  (32.48s)
[312/1000] deep6  hidden=1024,512,512,256,128,64  bs=8192 lr=0.002  do=0.05 wd=1e-06  test_rmse=0.7381  test_acc=70.75% (last=64.99%)  (25.8s)
[313/1000] huge4  hidden=2048,1024,512,256        bs=4096 lr=0.001  do=0.1  wd=0.001  test_rmse=0.6283  test_acc=73.78% (last=73.78%)  (38.55s)
[314/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.002  do=0.2  wd=0.0001 test_rmse=0.7576  test_acc=64.60% (last=64.60%)  (37.88s)
[315/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.001  do=0.05 wd=0.0001 test_rmse=0.9304  test_acc=69.95% (last=69.95%)  (38.96s)
[316/1000] deep6  hidden=1024,512,512,256,128,64  bs=1024 lr=0.002  do=0.2  wd=1e-05  test_rmse=0.5400  test_acc=69.93% (last=49.55%)  (29.88s)
[317/1000] big4   hidden=1024,512,256,128         bs=8192 lr=0.003  do=0.05 wd=0.001  test_rmse=0.6930  test_acc=70.54% (last=70.54%)  (20.9s)
[318/1000] deep6  hidden=1024,512,512,256,128,64  bs=8192 lr=0.002  do=0.0  wd=0.0005 test_rmse=0.6842  test_acc=71.92% (last=71.92%)  (20.14s)
[319/1000] wide3  hidden=1024,1024,512            bs=2048 lr=0.001  do=0.05 wd=0.0005 test_rmse=0.4433  test_acc=77.47% (last=77.47%)  (29.32s)
[320/1000] deep4  hidden=512,256,128,64           bs=8192 lr=0.004  do=0.05 wd=0.0005 test_rmse=0.5696  test_acc=73.65% (last=73.65%)  (15.27s)
