source,run,config_id,data,feature_set,seed,split_seed,split_strategy,candidate_offset,train_max_samples,n_train_full,n_train_used,n_val,n_test,epochs,name,hidden_dims,batch_size,lr,dropout,weight_decay,embed_dim_cap,n_params,best_val_epoch,train_mse,val_mse,test_mse,train_rmse,val_rmse,test_rmse,train_mdape,val_mdape,test_mdape,train_acc_pct,val_acc_pct,test_acc_pct,train_mse_last,val_mse_last,test_mse_last,train_rmse_last,val_rmse_last,test_rmse_last,train_mdape_last,val_mdape_last,test_mdape_last,train_acc_pct_last,val_acc_pct_last,test_acc_pct_last,seconds
sweep_deep_test,1,0ed7a41ec9,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,wide3,"1024,1024,512",2048,0.004,0.0,1e-06,64,1906905,15,0.11054357528686523,0.1364310911432274,0.1411242157230809,0.332480939734694,0.3693657958490843,0.3756650312753117,0.19968299567699432,0.21053628623485565,0.21010440587997437,80.03170043230057,78.94637137651443,78.98955941200256,0.11054357528686523,0.1364310911432274,0.1411242157230809,0.332480939734694,0.3693657958490843,0.3756650312753117,0.19968299567699432,0.21053628623485565,0.21010440587997437,80.03170043230057,78.94637137651443,78.98955941200256,35.2
sweep_deep_test,2,52f85c2f38,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,deep4,"512,256,128,64",8192,0.002,0.2,0.0001,32,351233,14,0.3182461706542969,0.379972891568364,0.4934996830445493,0.5641331143039707,0.6164194120632185,0.7024953259948064,0.27588096261024475,0.278626948595047,0.2780192792415619,72.41190373897552,72.1373051404953,72.19807207584381,0.4003232037353516,0.46179694773397517,0.5531396827353244,0.6327109954278901,0.6795564345468117,0.7437336100616433,0.33177509903907776,0.3339466452598572,0.33320581912994385,66.82249009609222,66.60533547401428,66.67941808700562,21.93
sweep_deep_test,3,3d771e0480,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,huge3,"2048,1024,512",8192,0.004,0.0,0.0,64,3060953,15,0.23986712036132812,0.2902270112294289,0.3069449991376547,0.4897623100661464,0.5387272141162249,0.5540261718887066,0.2713675796985626,0.2737143933773041,0.27282530069351196,72.86324203014374,72.62856066226959,72.7174699306488,0.23986712036132812,0.2902270112294289,0.3069449991376547,0.4897623100661464,0.5387272141162249,0.5540261718887066,0.2713675796985626,0.2737143933773041,0.27282530069351196,72.86324203014374,72.62856066226959,72.7174699306488,44.96
sweep_deep_test,4,3dc1c4fa9c,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,huge3,"2048,1024,512",4096,0.001,0.0,0.0001,64,3060953,15,0.14910026794433595,0.1810430910312737,0.19251493534152359,0.3861350384830881,0.4254915874976539,0.4387652394407784,0.22160089015960693,0.22500793635845184,0.22487549483776093,77.8399109840393,77.49920636415482,77.51245051622391,0.14910026794433595,0.1810430910312737,0.19251493534152359,0.3861350384830881,0.4254915874976539,0.4387652394407784,0.22160089015960693,0.22500793635845184,0.22487549483776093,77.8399109840393,77.49920636415482,77.51245051622391,44.95
sweep_deep_test,5,401cde1db8,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,wide3,"1024,1024,512",1024,0.001,0.2,0.0001,64,1906905,11,0.13657080642700195,0.16142621962395642,0.16786573488505765,0.36955487606984966,0.4017788192823962,0.4097142112315091,0.22560349106788635,0.23011654615402222,0.22942090034484863,77.43965089321136,76.98834538459778,77.05790996551514,0.16133185577392578,0.18542390929333977,0.18848606619578112,0.40166136953150694,0.4306087659271926,0.43414981998819385,0.23995353281497955,0.2445637732744217,0.24328447878360748,76.00464671850204,75.54362267255783,75.67155212163925,46.52
sweep_deep_test,6,9b6b8525f6,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,deep6,"1024,512,512,256,128,64",1024,0.003,0.1,1e-06,32,1178113,5,0.23697940734863282,0.2767564437361435,0.30471851894562824,0.48680530743679534,0.5260764618723627,0.5520131510622082,0.2745921015739441,0.2783765196800232,0.2777899205684662,72.54078984260559,72.16234803199768,72.22100794315338,3.0028185546875,3.0292057574581506,3.0304009682439164,1.7328642632034108,1.7404613633913713,1.7408046898615355,0.8162910342216492,0.8167704939842224,0.816562831401825,18.370896577835083,18.32295060157776,18.343716859817505,39.55
sweep_deep_test,7,007525e208,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,huge3,"2048,1024,512",2048,0.001,0.0,0.0001,64,3060953,15,0.12220955200195313,0.14752097042045334,0.15282184261849843,0.34958482804886304,0.38408458758514813,0.39092434385504626,0.20457325875759125,0.21117539703845978,0.21069541573524475,79.54267412424088,78.88246029615402,78.93045842647552,0.12220955200195313,0.14752097042045334,0.15282184261849843,0.34958482804886304,0.38408458758514813,0.39092434385504626,0.20457325875759125,0.21117539703845978,0.21069541573524475,79.54267412424088,78.88246029615402,78.93045842647552,44.79
sweep_deep_test,8,179daea928,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,deep4,"512,256,128,64",2048,0.003,0.0,0.001,32,351233,15,0.12894868438720702,0.16431992012170832,0.1765998951765935,0.3590942555753392,0.4053639353984371,0.4202379030699081,0.20815086364746094,0.21480993926525116,0.21340595185756683,79.1849136352539,78.51900607347488,78.65940481424332,0.12894868438720702,0.16431992012170832,0.1765998951765935,0.3590942555753392,0.4053639353984371,0.4202379030699081,0.20815086364746094,0.21480993926525116,0.21340595185756683,79.1849136352539,78.51900607347488,78.65940481424332,16.83
sweep_deep_test,9,02e89aff1f,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,deep6,"1024,512,512,256,128,64",1024,0.001,0.0,0.0,32,1178113,15,0.11602510314941407,0.14384986125381766,0.1504730290959333,0.3406245780172272,0.3792754424607763,0.38790853186793056,0.2060660421848297,0.2125197947025299,0.21269316971302032,79.39339578151703,78.74802052974701,78.73068302869797,0.11602510314941407,0.14384986125381766,0.1504730290959333,0.3406245780172272,0.3792754424607763,0.38790853186793056,0.2060660421848297,0.2125197947025299,0.21269316971302032,79.39339578151703,78.74802052974701,78.73068302869797,31.41
sweep_deep_test,10,a10026654d,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,big4,"1024,512,256,128",1024,0.002,0.1,0.0,64,1021145,13,0.13392374603271484,0.15697245625538644,0.16371498494951578,0.36595593455047953,0.39619749652841885,0.40461708435200283,0.23186556994915009,0.2379690259695053,0.23810043931007385,76.81344300508499,76.20309740304947,76.18995606899261,0.19482584411621093,0.2188546826868183,0.22523431453647416,0.4413908065605931,0.4678190704608121,0.4745885739632531,0.27609336376190186,0.28200650215148926,0.2812926173210144,72.39066362380981,71.79934978485107,71.87073826789856,29.94
