Test-focused sweep: runs=1000 / candidates=3360 (epochs=3, split_strategy=random, seed=42, split=70/15/15, train_max_samples=50000)
[017/1000] big3   hidden=1024,512,256             bs=4096 lr=0.0005 do=0.0  wd=0.0    test_rmse=1.8012  test_acc=8.30%  (4.47s)
[018/1000] deep3  hidden=512,256,128              bs=4096 lr=0.002  do=0.1  wd=0.001  test_rmse=1.7436  test_acc=0.00%  (3.68s)
[019/1000] big4   hidden=1024,512,256,128         bs=8192 lr=0.002  do=0.0  wd=0.001  test_rmse=2.0015  test_acc=13.37%  (4.64s)
[020/1000] wide2  hidden=512,256                  bs=4096 lr=0.003  do=0.2  wd=0.0    test_rmse=1.2866  test_acc=42.89%  (3.54s)
[021/1000] big3   hidden=1024,512,256             bs=4096 lr=0.0005 do=0.05 wd=0.0    test_rmse=1.7854  test_acc=16.91%  (5.34s)
[022/1000] big3   hidden=1024,512,256             bs=8192 lr=0.001  do=0.0  wd=0.001  test_rmse=2.3567  test_acc=0.00%  (4.5s)
[023/1000] wide2  hidden=512,256                  bs=4096 lr=0.0005 do=0.0  wd=0.001  test_rmse=2.1623  test_acc=26.89%  (3.15s)
[024/1000] big3   hidden=1024,512,256             bs=8192 lr=0.002  do=0.1  wd=0.0    test_rmse=2.4471  test_acc=6.20%  (6.84s)
[025/1000] deep3  hidden=512,256,128              bs=1024 lr=0.0005 do=0.2  wd=0.0001 test_rmse=1.0798  test_acc=70.78%  (4.81s)
[026/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.004  do=0.2  wd=0.0    test_rmse=0.8047  test_acc=62.62%  (7.13s)
[027/1000] small2 hidden=128,64                   bs=1024 lr=0.003  do=0.0  wd=0.0    test_rmse=0.6987  test_acc=72.18%  (3.01s)
[028/1000] base2  hidden=256,128                  bs=4096 lr=0.0005 do=0.05 wd=0.0    test_rmse=4.3789  test_acc=0.03%  (4.14s)
[029/1000] base2  hidden=256,128                  bs=8192 lr=0.004  do=0.1  wd=0.0    test_rmse=2.3589  test_acc=0.00%  (4.05s)
[030/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.002  do=0.1  wd=0.001  test_rmse=1.4763  test_acc=47.81%  (4.44s)
[031/1000] big3   hidden=1024,512,256             bs=4096 lr=0.004  do=0.2  wd=0.0    test_rmse=1.2449  test_acc=28.23%  (5.46s)
[032/1000] small2 hidden=128,64                   bs=2048 lr=0.004  do=0.0  wd=0.0001 test_rmse=0.8296  test_acc=59.64%  (2.36s)
[033/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.003  do=0.1  wd=0.0001 test_rmse=0.9208  test_acc=70.23%  (3.55s)
[034/1000] deep3  hidden=512,256,128              bs=4096 lr=0.003  do=0.2  wd=0.0001 test_rmse=1.1693  test_acc=34.99%  (3.74s)
[035/1000] small2 hidden=128,64                   bs=4096 lr=0.003  do=0.2  wd=0.0001 test_rmse=1.7094  test_acc=32.25%  (2.76s)
[036/1000] deep3  hidden=512,256,128              bs=2048 lr=0.004  do=0.2  wd=0.0    test_rmse=0.7568  test_acc=71.35%  (3.43s)
[037/1000] deep3  hidden=512,256,128              bs=1024 lr=0.004  do=0.1  wd=0.0    test_rmse=0.5029  test_acc=74.29%  (3.43s)
[038/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.003  do=0.0  wd=0.0    test_rmse=1.4352  test_acc=8.58%  (4.6s)
[039/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.0005 do=0.2  wd=0.001  test_rmse=1.6384  test_acc=57.70%  (3.58s)
[040/1000] wide2  hidden=512,256                  bs=2048 lr=0.004  do=0.2  wd=0.0001 test_rmse=0.6344  test_acc=73.10%  (3.32s)
[041/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.001  do=0.0  wd=0.0001 test_rmse=0.8307  test_acc=70.66%  (3.21s)
[042/1000] deep3  hidden=512,256,128              bs=1024 lr=0.003  do=0.0  wd=0.0001 test_rmse=0.4991  test_acc=75.92%  (3.09s)
[043/1000] base2  hidden=256,128                  bs=8192 lr=0.004  do=0.2  wd=0.001  test_rmse=2.3097  test_acc=0.00%  (3.12s)
[044/1000] small2 hidden=128,64                   bs=2048 lr=0.002  do=0.0  wd=0.0001 test_rmse=1.1422  test_acc=57.42%  (2.34s)
[045/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.001  do=0.2  wd=0.0001 test_rmse=1.1253  test_acc=65.40%  (3.59s)
[046/1000] wide2  hidden=512,256                  bs=2048 lr=0.004  do=0.0  wd=0.0    test_rmse=0.6689  test_acc=73.47%  (2.86s)
[047/1000] wide2  hidden=512,256                  bs=1024 lr=0.003  do=0.2  wd=0.0001 test_rmse=0.5291  test_acc=75.32%  (3.21s)
[048/1000] big3   hidden=1024,512,256             bs=4096 lr=0.004  do=0.1  wd=0.001  test_rmse=1.0000  test_acc=52.57%  (5.38s)
[049/1000] small2 hidden=128,64                   bs=8192 lr=0.001  do=0.05 wd=0.001  test_rmse=7.0707  test_acc=0.09%  (2.89s)
[050/1000] deep3  hidden=512,256,128              bs=8192 lr=0.002  do=0.2  wd=0.0001 test_rmse=2.1995  test_acc=14.57%  (3.8s)
[051/1000] wide2  hidden=512,256                  bs=2048 lr=0.0005 do=0.0  wd=0.0001 test_rmse=1.6452  test_acc=57.18%  (2.81s)
[052/1000] base2  hidden=256,128                  bs=4096 lr=0.004  do=0.0  wd=0.0001 test_rmse=1.4491  test_acc=0.00%  (2.82s)
[053/1000] base2  hidden=256,128                  bs=1024 lr=0.002  do=0.05 wd=0.0    test_rmse=0.8070  test_acc=73.57%  (2.52s)
[054/1000] wide2  hidden=512,256                  bs=8192 lr=0.001  do=0.2  wd=0.0001 test_rmse=2.5333  test_acc=0.00%  (3.57s)
[055/1000] big3   hidden=1024,512,256             bs=1024 lr=0.001  do=0.0  wd=0.001  test_rmse=0.6875  test_acc=72.29%  (4.65s)
[056/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.003  do=0.1  wd=0.001  test_rmse=0.9208  test_acc=70.23%  (3.63s)
[057/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.002  do=0.05 wd=0.0001 test_rmse=0.5426  test_acc=74.74%  (5.46s)
[058/1000] big3   hidden=1024,512,256             bs=4096 lr=0.0005 do=0.05 wd=0.0001 test_rmse=2.2411  test_acc=0.00%  (5.3s)
[059/1000] small2 hidden=128,64                   bs=1024 lr=0.0005 do=0.05 wd=0.0    test_rmse=1.6406  test_acc=30.70%  (2.35s)
[060/1000] deep3  hidden=512,256,128              bs=1024 lr=0.004  do=0.2  wd=0.0001 test_rmse=0.5235  test_acc=74.58%  (3.37s)
[061/1000] base2  hidden=256,128                  bs=2048 lr=0.004  do=0.0  wd=0.001  test_rmse=0.6854  test_acc=65.48%  (2.44s)
[062/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.004  do=0.1  wd=0.0001 test_rmse=0.5188  test_acc=74.38%  (3.43s)
[063/1000] wide2  hidden=512,256                  bs=2048 lr=0.003  do=0.1  wd=0.0001 test_rmse=0.8731  test_acc=64.79%  (3.18s)
[064/1000] deep3  hidden=512,256,128              bs=1024 lr=0.004  do=0.1  wd=0.001  test_rmse=0.5039  test_acc=75.59%  (3.56s)
[065/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.003  do=0.1  wd=0.0001 test_rmse=1.2625  test_acc=47.99%  (3.87s)
[066/1000] base2  hidden=256,128                  bs=1024 lr=0.004  do=0.1  wd=0.0    test_rmse=0.5257  test_acc=73.84%  (2.56s)
[067/1000] wide2  hidden=512,256                  bs=8192 lr=0.002  do=0.1  wd=0.0    test_rmse=1.7160  test_acc=32.82%  (3.63s)
[068/1000] small2 hidden=128,64                   bs=8192 lr=0.003  do=0.1  wd=0.0    test_rmse=3.4977  test_acc=3.69%  (2.93s)
[069/1000] big3   hidden=1024,512,256             bs=1024 lr=0.0005 do=0.0  wd=0.0    test_rmse=0.9996  test_acc=72.15%  (4.76s)
[070/1000] small2 hidden=128,64                   bs=1024 lr=0.0005 do=0.0  wd=0.0    test_rmse=1.6353  test_acc=33.12%  (2.2s)
[071/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.0005 do=0.0  wd=0.0001 test_rmse=2.1569  test_acc=1.49%  (4.65s)
[072/1000] big4   hidden=1024,512,256,128         bs=2048 lr=0.001  do=0.05 wd=0.001  test_rmse=1.0319  test_acc=67.55%  (5.57s)
[073/1000] small2 hidden=128,64                   bs=2048 lr=0.001  do=0.0  wd=0.0    test_rmse=1.8143  test_acc=25.52%  (2.37s)
[074/1000] deep3  hidden=512,256,128              bs=1024 lr=0.0005 do=0.1  wd=0.0001 test_rmse=1.3424  test_acc=67.64%  (3.49s)
[075/1000] deep3  hidden=512,256,128              bs=4096 lr=0.003  do=0.1  wd=0.0001 test_rmse=1.1262  test_acc=45.24%  (3.82s)
[076/1000] big4   hidden=1024,512,256,128         bs=2048 lr=0.001  do=0.0  wd=0.001  test_rmse=1.2454  test_acc=49.14%  (4.8s)
[077/1000] small2 hidden=128,64                   bs=1024 lr=0.002  do=0.05 wd=0.0    test_rmse=0.7087  test_acc=71.61%  (2.4s)
[078/1000] big3   hidden=1024,512,256             bs=2048 lr=0.002  do=0.0  wd=0.001  test_rmse=0.7978  test_acc=67.10%  (4.46s)
[079/1000] deep4  hidden=512,256,128,64           bs=8192 lr=0.001  do=0.2  wd=0.001  test_rmse=3.6335  test_acc=4.10%  (3.91s)
[080/1000] wide2  hidden=512,256                  bs=2048 lr=0.003  do=0.2  wd=0.0001 test_rmse=0.7794  test_acc=73.47%  (3.36s)
[081/1000] wide2  hidden=512,256                  bs=2048 lr=0.003  do=0.0  wd=0.0001 test_rmse=0.7084  test_acc=72.83%  (3.03s)
[082/1000] deep4  hidden=512,256,128,64           bs=2048 lr=0.0005 do=0.0  wd=0.0    test_rmse=1.6707  test_acc=36.21%  (3.19s)
[083/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.003  do=0.1  wd=0.0    test_rmse=0.5352  test_acc=73.67%  (5.81s)
[084/1000] small2 hidden=128,64                   bs=4096 lr=0.001  do=0.05 wd=0.001  test_rmse=3.6963  test_acc=0.10%  (2.77s)
[085/1000] small2 hidden=128,64                   bs=2048 lr=0.001  do=0.0  wd=0.001  test_rmse=1.7380  test_acc=22.74%  (2.42s)
[086/1000] small2 hidden=128,64                   bs=1024 lr=0.0005 do=0.2  wd=0.0001 test_rmse=1.6587  test_acc=39.28%  (2.34s)
[087/1000] deep3  hidden=512,256,128              bs=4096 lr=0.0005 do=0.2  wd=0.001  test_rmse=2.9091  test_acc=9.66%  (3.8s)
[088/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.002  do=0.1  wd=0.0    test_rmse=1.3614  test_acc=52.19%  (5.58s)
[089/1000] wide2  hidden=512,256                  bs=4096 lr=0.004  do=0.0  wd=0.0001 test_rmse=1.2541  test_acc=43.47%  (3.23s)
[090/1000] small2 hidden=128,64                   bs=1024 lr=0.001  do=0.05 wd=0.0    test_rmse=1.0023  test_acc=61.94%  (2.37s)
[091/1000] big3   hidden=1024,512,256             bs=1024 lr=0.001  do=0.2  wd=0.001  test_rmse=0.7946  test_acc=69.17%  (5.36s)
[092/1000] big4   hidden=1024,512,256,128         bs=8192 lr=0.002  do=0.05 wd=0.0    test_rmse=2.3545  test_acc=25.16%  (5.64s)
[093/1000] big3   hidden=1024,512,256             bs=4096 lr=0.002  do=0.0  wd=0.0    test_rmse=1.2922  test_acc=44.49%  (4.63s)
[094/1000] base2  hidden=256,128                  bs=1024 lr=0.002  do=0.05 wd=0.001  test_rmse=0.6967  test_acc=73.47%  (2.63s)
[095/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.001  do=0.1  wd=0.001  test_rmse=0.8608  test_acc=71.88%  (3.8s)
[096/1000] deep4  hidden=512,256,128,64           bs=8192 lr=0.003  do=0.0  wd=0.0001 test_rmse=1.7710  test_acc=39.89%  (3.53s)
[097/1000] big3   hidden=1024,512,256             bs=8192 lr=0.002  do=0.1  wd=0.0001 test_rmse=2.5351  test_acc=15.68%  (5.55s)
[098/1000] base2  hidden=256,128                  bs=8192 lr=0.001  do=0.2  wd=0.001  test_rmse=4.9560  test_acc=0.00%  (3.18s)
[099/1000] big3   hidden=1024,512,256             bs=1024 lr=0.0005 do=0.1  wd=0.001  test_rmse=1.1482  test_acc=68.49%  (5.42s)
[100/1000] deep3  hidden=512,256,128              bs=4096 lr=0.002  do=0.05 wd=0.0001 test_rmse=1.7420  test_acc=0.00%  (3.81s)
[101/1000] wide2  hidden=512,256                  bs=8192 lr=0.001  do=0.0  wd=0.001  test_rmse=2.6254  test_acc=0.00%  (3.27s)
[102/1000] base2  hidden=256,128                  bs=8192 lr=0.0005 do=0.1  wd=0.0    test_rmse=9.0839  test_acc=0.01%  (3.17s)
[103/1000] base2  hidden=256,128                  bs=4096 lr=0.0005 do=0.1  wd=0.0    test_rmse=3.5359  test_acc=1.48%  (3.02s)
[104/1000] wide2  hidden=512,256                  bs=8192 lr=0.0005 do=0.1  wd=0.001  test_rmse=3.6077  test_acc=0.34%  (3.7s)
[105/1000] wide2  hidden=512,256                  bs=1024 lr=0.0005 do=0.1  wd=0.001  test_rmse=1.3986  test_acc=62.93%  (3.19s)
[106/1000] wide2  hidden=512,256                  bs=2048 lr=0.002  do=0.2  wd=0.001  test_rmse=0.8831  test_acc=71.33%  (3.37s)
[107/1000] deep3  hidden=512,256,128              bs=8192 lr=0.001  do=0.1  wd=0.0    test_rmse=2.2523  test_acc=27.43%  (3.84s)
[108/1000] base2  hidden=256,128                  bs=8192 lr=0.0005 do=0.0  wd=0.0001 test_rmse=8.9676  test_acc=0.01%  (3.14s)
[109/1000] wide2  hidden=512,256                  bs=4096 lr=0.002  do=0.0  wd=0.001  test_rmse=1.6595  test_acc=36.59%  (3.61s)
[110/1000] small2 hidden=128,64                   bs=8192 lr=0.003  do=0.1  wd=0.001  test_rmse=3.1270  test_acc=5.37%  (3.58s)
[111/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.0005 do=0.0  wd=0.0001 test_rmse=3.1097  test_acc=6.14%  (4.63s)
[112/1000] big4   hidden=1024,512,256,128         bs=8192 lr=0.003  do=0.05 wd=0.001  test_rmse=2.7369  test_acc=0.00%  (7.03s)
[113/1000] deep4  hidden=512,256,128,64           bs=8192 lr=0.004  do=0.0  wd=0.0    test_rmse=1.8632  test_acc=9.97%  (4.71s)
[114/1000] wide2  hidden=512,256                  bs=2048 lr=0.002  do=0.2  wd=0.0001 test_rmse=0.8831  test_acc=71.33%  (4.86s)
[115/1000] base2  hidden=256,128                  bs=2048 lr=0.003  do=0.1  wd=0.0    test_rmse=0.8308  test_acc=65.13%  (3.6s)
[116/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.002  do=0.05 wd=0.0001 test_rmse=1.3661  test_acc=50.32%  (5.83s)
[117/1000] small2 hidden=128,64                   bs=4096 lr=0.001  do=0.2  wd=0.001  test_rmse=3.6327  test_acc=0.14%  (2.89s)
[118/1000] big3   hidden=1024,512,256             bs=4096 lr=0.003  do=0.05 wd=0.0    test_rmse=2.4151  test_acc=18.47%  (5.33s)
[119/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.003  do=0.05 wd=0.0001 test_rmse=1.3213  test_acc=34.19%  (5.92s)
[120/1000] small2 hidden=128,64                   bs=4096 lr=0.004  do=0.1  wd=0.0    test_rmse=1.3388  test_acc=42.47%  (3.62s)
[121/1000] big3   hidden=1024,512,256             bs=4096 lr=0.003  do=0.2  wd=0.0    test_rmse=2.5094  test_acc=17.49%  (5.39s)
[122/1000] wide2  hidden=512,256                  bs=8192 lr=0.004  do=0.05 wd=0.0001 test_rmse=1.4577  test_acc=39.43%  (3.56s)
[123/1000] big3   hidden=1024,512,256             bs=4096 lr=0.003  do=0.1  wd=0.0    test_rmse=2.0735  test_acc=16.83%  (5.35s)
[124/1000] small2 hidden=128,64                   bs=2048 lr=0.002  do=0.1  wd=0.0001 test_rmse=1.0944  test_acc=59.91%  (2.79s)
[125/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.003  do=0.05 wd=0.0001 test_rmse=0.5580  test_acc=74.32%  (6.37s)
[126/1000] base2  hidden=256,128                  bs=8192 lr=0.003  do=0.0  wd=0.0    test_rmse=2.1633  test_acc=16.89%  (3.01s)
[127/1000] big3   hidden=1024,512,256             bs=8192 lr=0.0005 do=0.0  wd=0.0001 test_rmse=2.5200  test_acc=13.64%  (5.76s)
[128/1000] deep3  hidden=512,256,128              bs=8192 lr=0.004  do=0.1  wd=0.001  test_rmse=3.3006  test_acc=7.03%  (4.98s)
[129/1000] base2  hidden=256,128                  bs=4096 lr=0.002  do=0.1  wd=0.0    test_rmse=1.3696  test_acc=45.49%  (4.01s)
[130/1000] big4   hidden=1024,512,256,128         bs=2048 lr=0.003  do=0.05 wd=0.0001 test_rmse=0.8006  test_acc=64.18%  (7.22s)
[131/1000] deep3  hidden=512,256,128              bs=1024 lr=0.004  do=0.05 wd=0.0    test_rmse=0.4864  test_acc=75.54%  (4.95s)
[132/1000] big3   hidden=1024,512,256             bs=4096 lr=0.004  do=0.2  wd=0.0001 test_rmse=1.0198  test_acc=49.10%  (6.92s)
[133/1000] small2 hidden=128,64                   bs=8192 lr=0.0005 do=0.0  wd=0.001  test_rmse=11.0502  test_acc=0.00%  (3.69s)
[134/1000] wide2  hidden=512,256                  bs=1024 lr=0.003  do=0.0  wd=0.001  test_rmse=0.4797  test_acc=76.29%  (4.17s)
[135/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.002  do=0.0  wd=0.0001 test_rmse=0.6901  test_acc=73.79%  (4.61s)
[136/1000] base2  hidden=256,128                  bs=1024 lr=0.003  do=0.1  wd=0.0    test_rmse=0.6604  test_acc=73.41%  (3.6s)
[137/1000] wide2  hidden=512,256                  bs=8192 lr=0.003  do=0.05 wd=0.0001 test_rmse=2.8957  test_acc=0.00%  (4.66s)
[138/1000] base2  hidden=256,128                  bs=2048 lr=0.001  do=0.2  wd=0.0001 test_rmse=1.1580  test_acc=46.96%  (3.93s)
[139/1000] big3   hidden=1024,512,256             bs=2048 lr=0.0005 do=0.05 wd=0.001  test_rmse=1.6257  test_acc=49.31%  (7.27s)
[140/1000] big3   hidden=1024,512,256             bs=8192 lr=0.004  do=0.2  wd=0.001  test_rmse=1.5024  test_acc=7.75%  (7.44s)
[141/1000] small2 hidden=128,64                   bs=1024 lr=0.001  do=0.0  wd=0.0    test_rmse=0.9963  test_acc=60.84%  (3.21s)
[142/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.0005 do=0.1  wd=0.001  test_rmse=3.1383  test_acc=7.17%  (5.28s)
[143/1000] small2 hidden=128,64                   bs=8192 lr=0.001  do=0.1  wd=0.001  test_rmse=7.0565  test_acc=0.09%  (3.8s)
[144/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.001  do=0.05 wd=0.0    test_rmse=1.6886  test_acc=38.38%  (5.35s)
[145/1000] base2  hidden=256,128                  bs=8192 lr=0.0005 do=0.0  wd=0.001  test_rmse=8.9677  test_acc=0.01%  (4.09s)
[146/1000] big3   hidden=1024,512,256             bs=8192 lr=0.0005 do=0.2  wd=0.0001 test_rmse=2.8254  test_acc=13.22%  (6.75s)
[147/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.002  do=0.0  wd=0.0    test_rmse=0.6427  test_acc=74.80%  (4.77s)
[148/1000] wide2  hidden=512,256                  bs=4096 lr=0.002  do=0.05 wd=0.0001 test_rmse=1.2265  test_acc=35.88%  (4.88s)
[149/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.0005 do=0.1  wd=0.001  test_rmse=1.1300  test_acc=69.28%  (7.86s)
[150/1000] deep4  hidden=512,256,128,64           bs=8192 lr=0.002  do=0.0  wd=0.001  test_rmse=3.3866  test_acc=0.00%  (4.56s)
[151/1000] big4   hidden=1024,512,256,128         bs=2048 lr=0.002  do=0.0  wd=0.001  test_rmse=0.7398  test_acc=73.15%  (6.18s)
[152/1000] wide2  hidden=512,256                  bs=1024 lr=0.0005 do=0.0  wd=0.001  test_rmse=1.0618  test_acc=67.61%  (4.14s)
[153/1000] base2  hidden=256,128                  bs=4096 lr=0.002  do=0.1  wd=0.0001 test_rmse=1.3696  test_acc=45.49%  (4.04s)
[154/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.0005 do=0.05 wd=0.001  test_rmse=3.1105  test_acc=7.45%  (5.07s)
[155/1000] deep4  hidden=512,256,128,64           bs=8192 lr=0.004  do=0.05 wd=0.0001 test_rmse=2.1179  test_acc=0.00%  (5.05s)
[156/1000] deep3  hidden=512,256,128              bs=8192 lr=0.0005 do=0.1  wd=0.0001 test_rmse=4.0546  test_acc=3.20%  (4.98s)
[157/1000] wide2  hidden=512,256                  bs=8192 lr=0.0005 do=0.2  wd=0.0001 test_rmse=3.6251  test_acc=0.32%  (4.72s)
[158/1000] base2  hidden=256,128                  bs=4096 lr=0.003  do=0.0  wd=0.001  test_rmse=1.2522  test_acc=30.36%  (3.82s)
[159/1000] base2  hidden=256,128                  bs=4096 lr=0.002  do=0.0  wd=0.001  test_rmse=1.3557  test_acc=41.44%  (3.88s)
[160/1000] big3   hidden=1024,512,256             bs=8192 lr=0.001  do=0.2  wd=0.0    test_rmse=2.4103  test_acc=0.00%  (6.87s)
[161/1000] big4   hidden=1024,512,256,128         bs=2048 lr=0.003  do=0.1  wd=0.0    test_rmse=0.7601  test_acc=70.78%  (7.41s)
[162/1000] wide2  hidden=512,256                  bs=1024 lr=0.001  do=0.05 wd=0.0001 test_rmse=1.0554  test_acc=71.54%  (4.35s)
[163/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.0005 do=0.1  wd=0.0001 test_rmse=1.0372  test_acc=71.76%  (7.55s)
[164/1000] wide2  hidden=512,256                  bs=2048 lr=0.004  do=0.05 wd=0.0001 test_rmse=0.6659  test_acc=73.22%  (4.35s)
[165/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.004  do=0.2  wd=0.0001 test_rmse=0.5435  test_acc=62.41%  (7.46s)
[166/1000] base2  hidden=256,128                  bs=2048 lr=0.004  do=0.1  wd=0.001  test_rmse=0.7054  test_acc=67.74%  (3.56s)
[167/1000] small2 hidden=128,64                   bs=1024 lr=0.0005 do=0.2  wd=0.0    test_rmse=1.6587  test_acc=39.28%  (3.14s)
[168/1000] base2  hidden=256,128                  bs=1024 lr=0.0005 do=0.1  wd=0.001  test_rmse=1.2527  test_acc=57.87%  (3.52s)
[169/1000] small2 hidden=128,64                   bs=8192 lr=0.0005 do=0.0  wd=0.001  test_rmse=11.3199  test_acc=0.00%  (3.63s)
[170/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.0005 do=0.1  wd=0.0    test_rmse=3.1468  test_acc=5.55%  (5.2s)
[171/1000] big3   hidden=1024,512,256             bs=8192 lr=0.0005 do=0.05 wd=0.0    test_rmse=2.5917  test_acc=12.32%  (6.72s)
[172/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.0005 do=0.2  wd=0.001  test_rmse=1.1791  test_acc=68.55%  (7.7s)
[173/1000] wide2  hidden=512,256                  bs=2048 lr=0.0005 do=0.2  wd=0.0001 test_rmse=1.6716  test_acc=56.56%  (4.32s)
[174/1000] small2 hidden=128,64                   bs=2048 lr=0.004  do=0.2  wd=0.0001 test_rmse=0.8445  test_acc=63.42%  (3.19s)
[175/1000] big4   hidden=1024,512,256,128         bs=2048 lr=0.001  do=0.0  wd=0.0    test_rmse=1.2453  test_acc=49.14%  (6.08s)
[176/1000] small2 hidden=128,64                   bs=1024 lr=0.001  do=0.05 wd=0.001  test_rmse=1.0024  test_acc=61.93%  (3.27s)
[177/1000] big3   hidden=1024,512,256             bs=2048 lr=0.003  do=0.05 wd=0.001  test_rmse=0.7968  test_acc=66.76%  (6.97s)
[178/1000] base2  hidden=256,128                  bs=4096 lr=0.003  do=0.05 wd=0.0    test_rmse=1.3827  test_acc=40.84%  (4.0s)
[179/1000] wide2  hidden=512,256                  bs=1024 lr=0.004  do=0.05 wd=0.001  test_rmse=0.4801  test_acc=75.65%  (4.56s)
[180/1000] big3   hidden=1024,512,256             bs=1024 lr=0.0005 do=0.2  wd=0.0001 test_rmse=1.0928  test_acc=72.31%  (7.76s)
[181/1000] wide2  hidden=512,256                  bs=4096 lr=0.0005 do=0.05 wd=0.001  test_rmse=2.1615  test_acc=26.91%  (4.63s)
[182/1000] wide2  hidden=512,256                  bs=8192 lr=0.004  do=0.0  wd=0.0    test_rmse=1.4349  test_acc=39.89%  (4.23s)
[183/1000] deep3  hidden=512,256,128              bs=8192 lr=0.004  do=0.2  wd=0.0    test_rmse=3.3122  test_acc=6.58%  (4.97s)
[184/1000] deep3  hidden=512,256,128              bs=1024 lr=0.004  do=0.0  wd=0.0001 test_rmse=0.4841  test_acc=76.05%  (4.38s)
[185/1000] small2 hidden=128,64                   bs=8192 lr=0.001  do=0.05 wd=0.001  test_rmse=7.3535  test_acc=0.09%  (3.79s)
[186/1000] small2 hidden=128,64                   bs=8192 lr=0.004  do=0.05 wd=0.001  test_rmse=2.9407  test_acc=0.00%  (3.71s)
