Test-focused sweep: runs=1000 / candidates=3360 (epochs=3, split_strategy=random, seed=42, split=70/15/15, train_max_samples=50000)
[001/1000] wide2  hidden=512,256                  bs=2048 lr=0.004  do=0.2  wd=0.001  test_rmse=0.6346  test_acc=73.09%  (3.27s)
[002/1000] big3   hidden=1024,512,256             bs=8192 lr=0.003  do=0.1  wd=0.0001 test_rmse=2.5643  test_acc=0.00%  (5.21s)
[003/1000] base2  hidden=256,128                  bs=8192 lr=0.0005 do=0.2  wd=0.001  test_rmse=8.9062  test_acc=0.01%  (2.99s)
[004/1000] small2 hidden=128,64                   bs=2048 lr=0.003  do=0.05 wd=0.0001 test_rmse=0.8904  test_acc=63.44%  (2.28s)
[005/1000] big3   hidden=1024,512,256             bs=2048 lr=0.004  do=0.05 wd=0.0    test_rmse=0.5828  test_acc=71.63%  (4.96s)
[006/1000] deep3  hidden=512,256,128              bs=2048 lr=0.001  do=0.2  wd=0.001  test_rmse=1.1383  test_acc=66.41%  (3.48s)
[007/1000] small2 hidden=128,64                   bs=1024 lr=0.001  do=0.1  wd=0.0    test_rmse=1.0827  test_acc=59.07%  (2.21s)
[008/1000] base2  hidden=256,128                  bs=2048 lr=0.002  do=0.0  wd=0.0001 test_rmse=0.9864  test_acc=57.97%  (2.38s)
[009/1000] small2 hidden=128,64                   bs=1024 lr=0.002  do=0.2  wd=0.0001 test_rmse=0.7459  test_acc=67.93%  (2.26s)
[010/1000] wide2  hidden=512,256                  bs=2048 lr=0.001  do=0.2  wd=0.001  test_rmse=1.1038  test_acc=65.15%  (3.17s)
[011/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.001  do=0.05 wd=0.001  test_rmse=1.0390  test_acc=70.78%  (3.44s)
[012/1000] wide2  hidden=512,256                  bs=8192 lr=0.004  do=0.0  wd=0.0    test_rmse=2.1158  test_acc=0.00%  (3.19s)
[013/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.002  do=0.2  wd=0.0001 test_rmse=1.2450  test_acc=47.34%  (5.45s)
[014/1000] small2 hidden=128,64                   bs=8192 lr=0.0005 do=0.2  wd=0.0001 test_rmse=11.0369  test_acc=0.00%  (2.79s)
[015/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.004  do=0.05 wd=0.0    test_rmse=0.4885  test_acc=74.97%  (3.53s)
[016/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.0005 do=0.1  wd=0.0    test_rmse=1.1323  test_acc=69.35%  (5.55s)
